2024-04-13 23:43:29.260 [main] INFO  p.i.o.s.CalculationServiceImpl:35 - Installments calculation start
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:21 - InterestPercent: [0.1598]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:24 - ResidualAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:28 - PreviousPaymentDate: [2022-11-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:31 - CurrentPaymentDate: [2022-12-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:36 - InterestAmount: [111.25]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:39 - Q: [1.0133166667]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:44 - InstallmentAmountWithoutCommission: [704.11]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:49 - CapitalAmount: [592.86]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:53 - CommissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:57 - InstallmentAmount: [704.11]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:60 - Calculated installment: [1], residualAmount: [8354.07], interestAmount: [111.25], capitalAmount: [592.86], installmentAmount: [704.11], commissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [2]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.0599]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.1598]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0133166667]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [7761.21]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2022-12-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [7761.21]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [106.80]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [704.11]
